ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2023,434164,35434164,10602,MAUA,JARDIM ZAIRA VIII,MAUA,,2,1.59
2023,434292,35434292,10210,LESTE 2,CRISTINA DE CASTRO PAES PROFESSORA,SAO PAULO,3,,1.65
2023,434711,35434711,20509,SAO CARLOS,ARY PINTO DAS NEVES PROFESSOR,SAO CARLOS,,3,
2023,434784,35434784,20509,SAO CARLOS,JO?O JACINTO DO NASCIMENTO,IBATE,,2,1.15
2023,434814,35434814,20403,BRAGANCA PAULISTA,BRUNO FLORENZANO PROFESSOR,BRAGANCA PAULISTA,,3,1.76
2023,435065,35435065,20507,RIBEIRAO PRETO,PROFESSOR PAULO CESAR CARNIEL GIOVANNETTI,RIBEIRAO PRETO,,5,2.55
2023,435119,35435119,20407,JUNDIAI,ALESSANDRA CRISTINA RODRIGUES DE O PEZZATO PROFA,JUNDIAI,,3,2.71
2023,435442,35435442,20401,AMERICANA,MARIA FRIZZARIN PROFA,AMERICANA,5,,1.9
2023,435454,35435454,20401,AMERICANA,MARIA DO CARMO AUGUSTI PROFA,AMERICANA,,3,1.06
2023,435485,35435485,20408,LIMEIRA,JANUARIO SYLVIO PEZZOTTI PROFESSOR,RIO CLARO,,2,1.87
2023,435491,35435491,20410,PIRACICABA,BENEDICTO EVANGELISTA COSTA PROFESSOR,PIRACICABA,,2,1.46
2023,435508,35435508,20410,PIRACICABA,EE PROF? WILSA APARECIDA GOMES VASCONCELLOS,PIRACICABA,,1,1.15
2023,435697,35435697,20501,ARARAQUARA,MARIA ISABEL RODRIGUES ORSO PROFA,ARARAQUARA,,1,
2023,436012,35436012,20404,CAMPINAS OESTE,CLAUDIA FRANCISCO DA SILVA,CAMPINAS,2,,
2023,436057,35436057,20306,ITU,JOAO ANTONIO MOTTA NAVARRO PROFESSOR,ITU,,2,
2023,436239,35436239,20710,SAO JOSE DO RIO PRETO,DINORATH DO VALLE PROFESSORA,SAO JOSE DO RIO PRETO,,3,
2023,437050,35437050,10317,SUL 1,ROSA INES BORNIA MOREIRA PROFESSORA,SAO PAULO,,2,2.52
2023,437736,35437736,10402,GUARULHOS SUL,LEVI VIEIRA DA MAIA PROFESSOR,GUARULHOS,,2,
2023,437748,35437748,20313,ITARARE,BAIRRO ENGENHEIRO MAIA II,ITABERA,,3,0.99
2023,438042,35438042,10314,SUL 2,NAIR OLEGARIO CAJUEIRO,SAO PAULO,,3,2.23
2023,438054,35438054,10314,SUL 2,AGENOR DE MIRANDA ARAUJO NETO - CAZUZA,SAO PAULO,3,,2.11
2023,438112,35438112,10211,LESTE 3,SITIO CONCEICAO,SAO PAULO,,2,
2023,441818,35441818,20601,BAURU,RAYMI OLIVEIRA BAPTISTA PEREIRA PROFESSORA,BAURU,,3,
2023,442318,35442318,20504,FRANCA,MARIA DO CARMO SILVA FERREIRA PROFA - DONA NENZINHA,FRANCA,,2,
2023,442324,35442324,20504,FRANCA,ODETTE BUENO RIBEIRO PROFESSORA,FRANCA,,2,
2023,442550,35442550,20204,PINDAMONHANGABA,EXPEDITO CAMARGO FREIRE PROFESSOR,CAMPOS DO JORDAO,,,4.1
2023,444121,35444121,10210,LESTE 2,MARILIA SANTOS CARVALHO DE POLILLO PROFESSORA,SAO PAULO,4,,1.32
2023,444133,35444133,10210,LESTE 2,BERNARDO O'HIGGINS DOM,SAO PAULO,3,,1.2
2023,444388,35444388,10706,TABOAO DA SERRA,MARLENE APARECIDA MAIA OLBERG PROFESSORA,EMBU DAS ARTES,,3,
2023,445897,35445897,20404,CAMPINAS OESTE,TENISTA MARIA ESTHER ANDION BUENO,CAMPINAS,,2,
2023,446038,35446038,20410,PIRACICABA,MARCIA REGINA MODESTO DE PAULA DA ROCHA PROFESSORA,PIRACICABA,,2,
2023,446048,35446048,20410,PIRACICABA,EDUARDO MILAD KOAIK DOM,PIRACICABA,,3,1.43
2023,446300,35446300,10503,ITAQUAQUECETUBA,VILA URSULINA,ITAQUAQUECETUBA,,2,2.14
2023,446312,35446312,10501,MOGI DAS CRUZES,KOHEIJI ADACHI,MOGI DAS CRUZES,,2,1.42
2023,446567,35446567,20419,CAPIVARI,JARDIM MORADA DO SOL,INDAIATUBA,,2,2.01
2023,446920,35446920,21003,MARILIA,EMICO MATSUMOTO GEOGRAFA,MARILIA,,3,1.68
2023,446981,35446981,20803,BIRIGUI,TEREZINHA LOT ZIN TELECO PROFESSORA,BIRIGUI,,2,
2023,447663,35447663,10211,LESTE 3,JARDIM SANTO ANDRE III,SAO PAULO,,2,
2023,452312,35452312,20409,MOGI MIRIM,GISSELDA APARECIDA TUROLA PIOVEZAN,AMPARO,,3,
2023,457243,35457243,10101,NORTE 1,MORRO DOCE,SAO PAULO,4,,3.22
